City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Isla Vista,US,2021-04-10 03:03:28,34.4133,-119.861,290.37,67,1,2.06
203,Rokytne,UA,2021-04-10 03:03:28,51.2796,27.214,274.66,70,70,4.07
204,Chernyshevskiy,RU,2021-04-10 03:03:28,63.0128,112.4714,258.59,74,99,5.14
205,Itoman,JP,2021-04-10 03:03:29,26.1247,127.6694,297.15,57,75,7.72
206,Mandalgovi,MN,2021-04-10 03:03:29,45.7625,106.2708,279.35,69,100,5.74
207,Vostok,RU,2021-04-10 02:57:59,46.4856,135.8833,279.48,44,43,3.6
208,Fereydun Kenar,IR,2021-04-10 03:03:29,36.6864,52.5225,289.15,82,0,4.12
209,Lavrentiya,RU,2021-04-10 02:59:27,65.5833,-171.0,255.66,85,100,3.57
210,Provideniya,RU,2021-04-10 02:57:27,64.3833,-173.3,256.79,85,100,7.48
211,Porbandar,IN,2021-04-10 02:54:04,21.6422,69.6093,297.15,94,0,3.09
212,Sitka,US,2021-04-10 02:57:30,57.0531,-135.33,275.15,80,40,4.12
213,Viedma,AR,2021-04-10 02:58:26,-40.8135,-62.9967,287.96,76,94,3.19
214,Margate,GB,2021-04-10 03:03:30,51.3813,1.3862,279.82,78,100,0.89
215,Yueyang,CN,2021-04-10 03:03:30,29.3333,113.0919,290.97,69,100,0.68
216,Lagoa,PT,2021-04-10 02:59:42,39.05,-27.9833,287.66,86,100,6.77
217,Khonsa,IN,2021-04-10 03:03:31,27.0167,95.5667,296.17,61,21,1.26
218,Kerema,PG,2021-04-10 03:03:31,-7.9631,145.7785,300.36,81,96,2.47
219,Georgiyevka,KZ,2021-04-10 03:03:31,43.0369,74.7114,284.15,62,9,1.0
220,Nacala,MZ,2021-04-10 02:57:52,-14.5428,40.6728,294.63,96,65,3.75
221,Rawson,AR,2021-04-10 02:59:22,-43.3002,-65.1023,285.97,72,38,1.07
222,Lisala,CD,2021-04-10 03:03:32,2.15,21.5167,293.91,93,75,0.8
223,Turayf,SA,2021-04-10 03:03:32,31.6725,38.6637,283.15,81,0,8.75
224,Nishihara,JP,2021-04-10 02:58:37,26.1842,127.7558,298.15,57,75,7.72
225,Port-Gentil,GA,2021-04-10 03:02:57,-0.7193,8.7815,299.75,82,100,3.68
226,Bamiantong,CN,2021-04-10 03:03:32,44.9333,130.5333,285.27,25,1,3.06
227,Olinda,BR,2021-04-10 03:03:33,-8.0089,-34.8553,296.15,78,75,2.57
228,Tiznit,MA,2021-04-10 02:59:34,29.5833,-9.5,284.62,88,3,0.96
229,Kosa,RU,2021-04-10 03:03:33,59.9445,54.9977,273.06,93,62,1.03
230,Isangel,VU,2021-04-10 02:57:21,-19.55,169.2667,301.78,67,100,0.54
231,Dauphin,CA,2021-04-10 03:03:33,51.1494,-100.0502,276.15,75,1,1.54
232,Grenville,GD,2021-04-10 03:03:34,12.1167,-61.6167,300.15,89,75,3.6
233,Farmington,US,2021-04-10 03:03:34,36.7281,-108.2187,286.48,11,1,3.6
